relation_id,source_id,source_name,source_type,relation_type,relation_label,target_id,target_name,target_type,direction,usage,layer,analytics_enabled,mention_count,document_count,paragraph_count,category_count,evidence_count,evidence_strength,example_text,example_url
rel_15bb165f2e28,ent_3dcc3dbbf7a7,一大事因緣,DoctrineTerm,concept_defined_as,概念定义为,ent_b35b69fd5ff9,眾生,DoctrineTerm,directed,core_usable,stable_entity_graph,true,1,0,0,0,1,single_article,什麼是一大事因緣？ ⟂S⟂ 就是為令眾生入佛知見。,https://books.masterhsingyun.org/ArticleDetail/artcle272
rel_9f79b855d125,ent_3dcc3dbbf7a7,一大事因緣,DoctrineTerm,concept_defined_as,概念定义为,ent_932ce5962a37,示教利喜,Concept,directed,core_usable,stable_entity_graph,true,2,2,2,2,2,multi_article,佛陀以一大事因緣降生於世，所謂一大事因緣，即示教利喜，也就是「開示眾生以言教，給予眾生以歡喜」。⟂S⟂所以，佛法的弘揚，必須適合現代人的需要，令眾生歡喜，自然地接受，才是佛陀示教的真正本懷。,https://books.masterhsingyun.org/ArticleDetail/artcle724
rel_80e0d586f6d0,ent_29c863dd97d1,一心,DoctrineTerm,concept_defined_as,概念定义为,ent_8416aa5f2800,不二,DoctrineTerm,directed,core_usable,stable_entity_graph,true,1,0,0,0,1,single_article,所謂一心，就是唯一不二，沒有兩樣的心，唯是一念清淨，沒有絲毫的迷妄，這是由於一心稱名所得的心境，也就是觀世音給你苦惱的一切解脫。,https://books.masterhsingyun.org/ArticleDetail/artcle2167
rel_33156098a039,ent_29c863dd97d1,一心,DoctrineTerm,concept_encompasses_doctrinal_scope,概念统摄教义范围,ent_4fb8d09ae94c,諸法,DoctrineTerm,directed,core_usable,stable_entity_graph,true,2,1,1,1,2,single_article,所謂「色心並舉」，大師指出，《華嚴經》說：「若人欲了知，三世一切佛，應觀法界性，一切唯心造。」⟂S⟂華嚴宗主張三界都是一心所作，也就是說，客觀的世界，須有主觀的心照射之，方能現出客觀事象。⟂S⟂而且客觀的世界映入我人眼中，由主觀加以認識，全憑心智，所以《般若經》說：「於一切法，心為善導，若能知心，悉知眾法，種種世法，皆由心生。」⟂S⟂離卻心識，則無萬象可談，所以說：「三界唯心，萬法唯識。」⟂S⟂佛法以一心統攝諸法，並不落於一邊，而是借現實以啟發心靈，本心靈以照見現實，這就是不偏唯心、不偏唯物，色心並舉的中道觀。⟂S⟂,https://books.masterhsingyun.org/ArticleDetail/artcle15648
rel_7e949823cd23,ent_29c863dd97d1,一心,DoctrineTerm,concept_has_causal_role,概念具有因果角色,ent_4fb8d09ae94c,諸法,DoctrineTerm,directed,core_usable,stable_entity_graph,true,1,1,1,1,1,single_article,佛陀證悟緣起的道理，說明「諸法因緣生，諸法因緣滅」，世間萬物，情與無情，皆在因緣和合下生滅變化，因而認識宇宙的產生、消長是緣起的，如同圓環，無始無終，因此無所謂宇宙的起源與創造之說。⟂S⟂至於宇宙的緣起，佛教諸宗派各有主張，如：業感緣起、賴耶緣起、真如緣起、法界緣起等。⟂S⟂然而這些理論無不繫於心的造作，「心生則法生，心滅則法滅，若無一切法，何用一切心」，所謂一心能生萬法，「心包太虛，量周沙界」，三千大千世界都是心識所現。⟂S⟂心力之大，心念之迅速無有比擬，心的世界較物質世界更為無邊無際，所謂「一念三千」，心念一動，三界六道、宇宙之間，任意遨遊。⟂S⟂《正法念處經‧畜生品》云：「心能造作一切業，由心故有一切果。」⟂S⟂又說：「心為一切巧畫師，能於三界起眾行。」⟂S⟂故知「心」是一個微妙不可思議的宇宙世界，眾生流轉六道，或成佛作祖，取證聖境，但由心的作為而定。⟂S⟂因此吾人不必在心外追尋，只要此心覺悟，不妄自造作，則山河大地、樹木花草，盡納於胸中，當下一念即是法界，娑婆世界轉瞬而成淨土，宇宙萬象、心識的起滅，無不豁朗明了，念念不被境風業浪所轉，如無門禪師的「日日是好日」，怡然自得。,https://books.masterhsingyun.org/ArticleDetail/artcle4062
rel_e2d8bdaa7094,ent_29c863dd97d1,一心,DoctrineTerm,concept_has_subconcept,概念包含下位概念,ent_60e6839f67f5,心生滅門,DoctrineTerm,directed,core_usable,stable_entity_graph,true,1,1,1,1,1,single_article,四、從世理到心理：世間有世間的道理，出世間有出世間的道理，而吾人的心，即為世出、世間的中樞。⟂S⟂有時候，我們要顧到世間法的道理；⟂S⟂有時候，我們的心中還有出世間法的道理。⟂S⟂所以《大乘起信論》講「一心開二門」：心生滅門、心真如門；⟂S⟂唯識家講「三界唯心，萬法唯識」。⟂S⟂心理，必定是十度空間最高、最究竟的道理。,https://books.masterhsingyun.org/ArticleDetail/artcle4049
rel_5f6337b0085e,ent_29c863dd97d1,一心,DoctrineTerm,concept_has_subconcept,概念包含下位概念,ent_b440551c51d6,心真如門,DoctrineTerm,directed,core_usable,stable_entity_graph,true,1,1,1,1,1,single_article,四、從世理到心理：世間有世間的道理，出世間有出世間的道理，而吾人的心，即為世出、世間的中樞。⟂S⟂有時候，我們要顧到世間法的道理；⟂S⟂有時候，我們的心中還有出世間法的道理。⟂S⟂所以《大乘起信論》講「一心開二門」：心生滅門、心真如門；⟂S⟂唯識家講「三界唯心，萬法唯識」。⟂S⟂心理，必定是十度空間最高、最究竟的道理。,https://books.masterhsingyun.org/ArticleDetail/artcle4049
rel_71a64d7ed67b,ent_29c863dd97d1,一心,DoctrineTerm,conceptual_scope_includes_figure,概念作用范围涉及人物,ent_c495c558929a,三世諸佛,BuddhistFigure,directed,core_usable,stable_entity_graph,true,1,1,1,1,1,single_article,《華嚴經》言：「若人欲了知，三世一切佛，應觀法界性，一切唯心造。」⟂S⟂意思是我們這顆心能作眾生，也能作佛；⟂S⟂能造天堂，也能造地獄；⟂S⟂法外無心，心外無法。⟂S⟂十方世界三世諸佛都是我們一心所現，是「心、佛、眾生，三無差別」。⟂S⟂「一念淨心能成佛」是「自性彌陀」，「一念淨心能造淨土」即是「唯心淨土」。,https://books.masterhsingyun.org/ArticleDetail/artcle9824
rel_7bec1585c03d,ent_5d82de15d55d,一心三觀,DoctrineTerm,concept_complementary_with,概念在语境中相互助成,ent_8e5bc1f388e3,一念三千,Concept,symmetric,core_usable,stable_entity_graph,true,2,1,2,1,2,single_article,提要：立基於天台教觀與人間佛教之間可能的關涉，本文論述之進行乃從個人多年來之研究領域──天台教觀──切入，亦即從天台教觀所宣倡之解行並重，以具體闡釋其中所可能蘊含之人間性，並進而以「一念三千」與「一心三觀」之間的相互依持、相輔相成所展現之教觀雙美的特質，以具體論析於當前社會推行佛教人間化之理論依憑與實踐法門。,https://books.masterhsingyun.org/ArticleDetail/artcle17778
rel_935245a4ffc2,ent_ac993f0f8df9,一心不亂,Concept,concept_equivalent_to,概念等同或同义,ent_093d3d337558,禪定,PracticeActivity,symmetric,core_usable,stable_entity_graph,true,1,1,1,1,1,single_article,禪門說參禪時講究心要定於一境，而淨土宗如《阿彌陀經》說，念佛要一心不亂，這不就是禪的定境嗎？,https://books.masterhsingyun.org/ArticleDetail/artcle674
rel_eb6f50252cca,ent_ac993f0f8df9,一心不亂,Concept,doctrinal_entails,义理论证推出,ent_e8785f476bae,往生,Concept,directed,core_usable,stable_entity_graph,true,3,3,3,2,3,multi_article,《阿彌陀經》說，如果有人發願往生，只要一心稱念阿彌陀佛名號，念到一心不亂，臨命終時，必蒙阿彌陀佛及諸聖眾手執蓮台，接引往生，因此淨土信仰自古即深入民間，西方三聖的阿彌陀佛與觀世音菩薩名號也牢牢深植人心，因此有「家家彌陀佛，戶戶觀世音」之說。,https://books.masterhsingyun.org/ArticleDetail/artcle15165
rel_89ce939937ee,ent_ac993f0f8df9,一心不亂,Concept,doctrine_constrained_by,义理受条件或范围限制,ent_294c2e592b25,福德因緣,DoctrineTerm,directed,core_usable,stable_entity_graph,true,1,1,1,1,1,single_article,又《無量壽經》的三輩往生條件是：三輩人皆需發菩提心，而以是否出家、念佛稱名、修諸功德的多寡，分為上、中、下三輩的不同。⟂S⟂依《往生論》的記載，往生條件有禮拜、讚歎、作願、觀察、迴向等五念門。⟂S⟂又若由簡單的因果來推論，要能確信有西方淨土、要深信發願行持往生，則非「宿具善根福德因緣」不可，更何況臨命終時要能得遇善知識教令稱名，要不遭到意外橫死，以及要達到「一心不亂」，則更非具善根福德因緣不可。⟂S⟂所以依前三經一論的經證及因果定律的推論，得知「必得具足善根福德因緣」，才得以往生西方淨土。,https://books.masterhsingyun.org/ArticleDetail/artcle6699
rel_7c59a5ddf9e4,ent_6711ca03b548,一念,DoctrineTerm,concept_encompasses_doctrinal_scope,概念统摄教义范围,ent_1de5316b3b56,三千諸法,DoctrineTerm,directed,core_usable,stable_entity_graph,true,1,1,1,1,1,single_article,三千即表示世間、出世間的一切善惡、性相諸法。⟂S⟂根據天台思想，無論凡聖，介爾一心均具足「十法界」，「十界互具」得百界，百界各具「十如是」得千如，此千如復各具「三世間」，則成「三千世界」，於是眾生一念妄心起，便具足三千諸法了。⟂S⟂因此，若要了解「一念三千」之理，就必須先明白「十法界」、「十界互具」、「十如是」、「三世間」的意義。,https://books.masterhsingyun.org/ArticleDetail/artcle15090
rel_878faa63df9b,ent_8e5bc1f388e3,一念三千,Concept,concept_defined_as,概念定义为,ent_1e4cd9ef7617,不可思議境,DoctrineTerm,directed,core_usable,stable_entity_graph,true,1,1,1,1,1,single_article,具體而言，「一念三千」所以是「不可思議境」，在於智者大師認為依循圓頓止觀之觀慧，則能觀照眾生一念無明心，此無明心當體亦即是法性心，皆為因緣所生，即空即假即中。,https://books.masterhsingyun.org/ArticleDetail/artcle17778
rel_f1363b7698ba,ent_8e5bc1f388e3,一念三千,Concept,concept_has_subconcept,概念包含下位概念,ent_ecc71f2ce47d,三世間,Concept,directed,core_usable,stable_entity_graph,true,1,1,1,1,1,single_article,根據天台思想，無論凡聖，介爾一心均具足「十法界」，「十界互具」得百界，百界各具「十如是」得千如，此千如復各具「三世間」，則成「三千世界」，於是眾生一念妄心起，便具足三千諸法了。⟂S⟂因此，若要了解「一念三千」之理，就必須先明白「十法界」、「十界互具」、「十如是」、「三世間」的意義。,https://books.masterhsingyun.org/ArticleDetail/artcle15090
rel_e1f78163c157,ent_8e5bc1f388e3,一念三千,Concept,concept_is_foundation_of,概念构成另一概念或实践的基础,ent_5d82de15d55d,一心三觀,DoctrineTerm,directed,core_usable,stable_entity_graph,true,1,1,1,1,1,single_article,因此，依上述「一念三千」的教理，進而與智者大師有關觀心之實踐方法的闡釋相結合，則可具體看出天台圓頓教觀之特色在於依止於一念三千而如實修持一心三觀，依空、假、中三觀以觀照自心，亦即隨時觀照自身當下之一念心所起諸境界，皆依因待緣，空無自性，因此欲照見諸法之實相，必須依循不偏空亦不偏有之中道乃能契入。,https://books.masterhsingyun.org/ArticleDetail/artcle17778
rel_06b12021e9d2,ent_8e5bc1f388e3,一念三千,Concept,concept_named_as,概念命名为,ent_1e4cd9ef7617,不可思議境,DoctrineTerm,directed,core_usable,stable_entity_graph,true,1,1,1,1,1,single_article,吾人於日常生活中的行住坐臥，乃至世間生產等活動中，因眼、耳、鼻、舌、身、意六根與色、聲、香、味、觸、法六麈境界相對應，並依眼識、耳識、鼻識、舌識、身識、意識六種覺識作用，所謂根、境、識和合而認識，乃至摻和第七末那識與第八阿賴耶識的作用，進而分別現象世界之種種存在；⟂S⟂也因此不免有一切煩惱、善、惡等法的生起。⟂S⟂依智者大師之闡釋，吾人於日常所起之一念心，必相應於十法界中之某一法界，如輪轉生死、苦惱逼迫，即相應於地獄界；⟂S⟂貪欲相應於餓鬼界；⟂S⟂愚痴相應於畜生界；⟂S⟂瞋恚相應於阿修羅界；⟂S⟂人倫道德相應於人世間；⟂S⟂享受福報相應天界；⟂S⟂修行求出離世間苦惱相應二乘界；⟂S⟂慈悲喜捨相應於菩薩界，乃至如實覺了成正等正覺則相應於佛界。⟂S⟂如此一念相應的十法界，除佛以外之九界眾生，其當下一念心所趣向之種種境界，依智者大師之觀解皆是虛妄分別之思議境，並非天台圓頓止觀所觀之如實境界，唯圓滿證悟諸法實相之佛乃能圓觀諸法存在之不思議境。⟂S⟂而如此一念所起三千世間所以是不可思議，依智者大師的詮釋，其關鍵在於：「若無心而已，介爾有心，即具三千。」⟂S⟂此一念心與即具的三千法之關係，不可說是一心在前，一切法在後；⟂S⟂亦不可說一切法在前，一心在後。⟂S⟂縱亦不可、橫亦不可。⟂S⟂祇心是一切法，一切法是心故。⟂S⟂因此，每一當下之心念與所起現之任一境界，二者之關係乃是「非縱非橫，非一非異，玄妙深絕，非識所識，非言所言。」⟂S⟂而如此展現之「一念三千」境界，若念念皆如實觀照而圓滿呈現，智者大師稱之為「不可思議境」，而此即是天台教理對於每一實存個體之身心存在的圓極觀解。,https://books.masterhsingyun.org/ArticleDetail/artcle17778
rel_9186eed30667,ent_8e5bc1f388e3,一念三千,Concept,doctrine_based_on_classic,教义依据经典,ent_6b3ad45ee630,華嚴經,Classic,directed,core_usable,stable_entity_graph,true,1,1,1,1,1,single_article,一念亦稱一心，指心念活動的最短時刻；⟂S⟂三千表示世間與出世間一切善惡、性相等人、物差別的總和。⟂S⟂一念三千是於凡夫當下一念之中，具足三千世間的諸法性相。⟂S⟂蓋天台宗思想，不論三性的有漏無漏，而謂介爾一心即具三千世間的迷悟諸法而無欠缺。⟂S⟂《摩訶止觀》卷五上：「夫一心具十法界，一法界又具十法界、百法界；⟂S⟂一界具三十種世間，百法界即具三千種世間。⟂S⟂此三千在一念心，若無心而已，介爾有心，即具三千，亦不言一心在前，一切法在後，亦不言一切法在前，一心在後。」⟂S⟂考諸吾人於日夜所起的一念心，必屬十法界中的某一法界，如與殺生等瞋恚相應，是地獄界；⟂S⟂若與貪欲相應，是餓鬼界；⟂S⟂若與人倫道德律相應，是人間界；⟂S⟂若與真如法界相應，是佛界。⟂S⟂是故一念與某界相應，此心即在某界，而且此眾生之一念心並非與一切諸法之間有所隔歷，而是互具互融。⟂S⟂因其非孤立，故在一界必具十界。⟂S⟂同時，於此十界又各具十界，而成百界。⟂S⟂此百界復具足十如是（如是相、如是性、如是體、如是力、如是作、如是因、如是緣、如是果、如是報、如是本末究竟等），即成千如，再配以五陰、眾生、國土三世間，即此三千世間具足於一念之中。⟂S⟂一念三千的教義是根據《六十華嚴‧夜摩天宮自在品》的「心佛眾生，三無差別」而來。⟂S⟂初學者根機淺，不宜作高層次的觀法，須由自心觀起，以具體事物為所觀對象，故天台宗立一心三觀之法以為初學入門之機。,https://books.masterhsingyun.org/ArticleDetail/artcle4145
rel_cf35f26fd59e,ent_8e5bc1f388e3,一念三千,Concept,doctrine_based_on_classic,教义依据经典,ent_0b06e21deb6e,大智度論,Classic,directed,core_usable,stable_entity_graph,true,1,1,1,1,1,single_article,智者大師將《法華經》的千如，配合《大智度論》的三世間，形成他自己獨特的一念三千的教學。⟂S⟂關於十如是、三世間等名相，佛教辭典有詳細的記載，不一一加以介紹，我們只對一念三千的道理稍加說明。,https://books.masterhsingyun.org/ArticleDetail/artcle3702
rel_3848d13a5525,ent_8e5bc1f388e3,一念三千,Concept,doctrine_based_on_classic,教义依据经典,ent_c23eb3ad53f7,法華經,Classic,directed,core_usable,stable_entity_graph,true,1,1,1,1,1,single_article,智者大師將《法華經》的千如，配合《大智度論》的三世間，形成他自己獨特的一念三千的教學。⟂S⟂關於十如是、三世間等名相，佛教辭典有詳細的記載，不一一加以介紹，我們只對一念三千的道理稍加說明。,https://books.masterhsingyun.org/ArticleDetail/artcle3702
rel_7e71b22c4d07,ent_8e5bc1f388e3,一念三千,Concept,doctrine_constrained_by,义理受条件或范围限制,ent_f6e6073bcd93,十如是,Concept,directed,core_usable,stable_entity_graph,true,1,1,1,1,1,single_article,根據天台思想，無論凡聖，介爾一心均具足「十法界」，「十界互具」得百界，百界各具「十如是」得千如，此千如復各具「三世間」，則成「三千世界」，於是眾生一念妄心起，便具足三千諸法了。⟂S⟂因此，若要了解「一念三千」之理，就必須先明白「十法界」、「十界互具」、「十如是」、「三世間」的意義。,https://books.masterhsingyun.org/ArticleDetail/artcle15090
rel_c08a218aa001,ent_8e5bc1f388e3,一念三千,Concept,doctrine_constrained_by,义理受条件或范围限制,ent_ef04744dcfa5,十法界,PlaceRealm,directed,core_usable,stable_entity_graph,true,1,1,1,1,1,single_article,根據天台思想，無論凡聖，介爾一心均具足「十法界」，「十界互具」得百界，百界各具「十如是」得千如，此千如復各具「三世間」，則成「三千世界」，於是眾生一念妄心起，便具足三千諸法了。⟂S⟂因此，若要了解「一念三千」之理，就必須先明白「十法界」、「十界互具」、「十如是」、「三世間」的意義。,https://books.masterhsingyun.org/ArticleDetail/artcle15090
rel_612fcdecf542,ent_297708e1a3e4,一真法界,PlaceRealm,doctrine_constrained_by,义理受条件或范围限制,ent_4c194eb34333,般若,DoctrineTerm,directed,core_usable,stable_entity_graph,true,1,1,1,1,1,single_article,如果想要進入甚深的一真法界及般若正定的人，必須修持般若行，持誦《金剛般若波羅蜜經》，即能見到自性。,https://books.masterhsingyun.org/ArticleDetail/artcle129
rel_b11d5a90b34a,ent_2db8b7998b4f,七聖財,Concept,concept_has_quality,概念具有属性,ent_7ed1a52121c4,清淨,DoctrineTerm,directed,core_usable,stable_entity_graph,true,1,0,0,0,1,single_article,七聖財是清淨的財富，佛弟子除了要有世間的財富，更要擁有出世的七聖財。,https://books.masterhsingyun.org/ArticleDetail/artcle4687
rel_9411ca997168,ent_c879b974c6a1,三業供養,PracticeActivity,practice_has_component,实践包含组成环节,ent_cac49a61a507,禮拜,PracticeActivity,directed,core_usable,stable_entity_graph,true,1,1,1,1,1,single_article,對佛菩薩的供養，有「十種供養」，即香、花、燈、塗、果、茶、食、寶、珠、衣。⟂S⟂另外，還有身、口、意的「三業供養」，就是以身體的禮拜，口頭的讚美，以及內心的恭敬，來表達對諸佛菩薩虔敬的供養。,https://books.masterhsingyun.org/ArticleDetail/artcle14096
rel_2a49ce780acb,ent_c879b974c6a1,三業供養,PracticeActivity,practice_honors_entity,实践礼敬或赞叹对象,ent_2fd7468711e7,諸佛菩薩,Group,directed,core_usable,stable_entity_graph,true,1,1,1,1,1,single_article,對佛菩薩的供養，有「十種供養」，即香、花、燈、塗、果、茶、食、寶、珠、衣。⟂S⟂另外，還有身、口、意的「三業供養」，就是以身體的禮拜，口頭的讚美，以及內心的恭敬，來表達對諸佛菩薩虔敬的供養。,https://books.masterhsingyun.org/ArticleDetail/artcle14096
rel_37800406676c,ent_c3569625ae14,三十二相,DoctrineTerm,concept_has_quality,概念具有属性,ent_5e88307976b7,莊嚴,DoctrineTerm,directed,core_usable,stable_entity_graph,true,2,1,1,1,2,single_article,《法華經》中記載：三千大千世界裡無量千萬億的菩薩眾，聽聞佛陀宣說《法華經》，即以神通力同時從地底湧出菩薩身皆金色，三十二相好莊嚴，光明燦爛。,https://books.masterhsingyun.org/ArticleDetail/artcle7214
rel_afb8f93f3a2a,ent_c3569625ae14,三十二相,DoctrineTerm,concept_has_quality,概念具有属性,ent_5ebb7ea1e87e,緣起性空,DoctrineTerm,directed,core_usable,stable_entity_graph,true,1,1,1,1,1,single_article,三十二相、八十種好，是佛在因地摩頂放踵行菩薩道，累劫積集福德因緣，一相一相，點點滴滴，修習成就的色身，同時也是佛陀為了廣度有情，由法身顯發的應身。⟂S⟂所以，三十二相、八十種好是緣起性空的假名幻有，能夠了知這一點，才能如實見到佛陀的相好光明。,https://books.masterhsingyun.org/ArticleDetail/artcle7548
rel_7f34b8995c2a,ent_c3569625ae14,三十二相,DoctrineTerm,concept_has_subconcept,概念包含下位概念,ent_91cd06695858,廣長舌相,DoctrineTerm,directed,core_usable,stable_entity_graph,true,3,3,3,2,3,multi_article,佛教講「三祇修福慧，百劫修相好」，釋迦牟尼佛的「三十二相」，其中有一「廣長舌相」，就是舌頭伸出來能覆蓋著鼻子，這是由於三十世不說謊所修得的相好。⟂S⟂另外有一位香口沙彌，不但不說謊、不罵人，而且說好話、說善言，最後他說話時，口中完全沒有穢濁之氣，只有滿口芬芳，所以大家稱他為「香口沙彌」。,https://books.masterhsingyun.org/ArticleDetail/artcle4871
rel_d2c1d56ad616,ent_c3569625ae14,三十二相,DoctrineTerm,doctrinal_entails,义理论证推出,ent_a277910bfd3e,八十種好,Concept,directed,core_usable,stable_entity_graph,true,1,1,1,1,1,single_article,「八十種好」是因三十二相而有，所以又稱「八十隨形好」。⟂S⟂這圓滿的三十二相，並不是天生如此，佛陀是經過九十一大劫的修行才能成就。,https://books.masterhsingyun.org/ArticleDetail/artcle2618
rel_8a3ef587c3e6,ent_98280da5b482,三十論,Classic,classic_states_or_mentions_doctrine,经典陈述或提及教义,ent_23cc1557ed5d,八識,DoctrineTerm,directed,core_usable,stable_entity_graph,true,1,1,1,1,1,single_article,這一期經論介紹，要向各位介紹的是一部唯識的根本論著《唯識三十論》。⟂S⟂此論雖然只有一百二十句的短文，但所含義理豐富，把人的心理變化過程用「八識」來說明，以精闢之喻來闡釋三界唯心、萬法唯識的道理。,https://books.masterhsingyun.org/ArticleDetail/artcle22745
rel_a4e23b575c8d,ent_98280da5b482,三十論,Classic,classic_states_or_mentions_doctrine,经典陈述或提及教义,ent_9d76d66a4eef,唯心,DoctrineTerm,directed,core_usable,stable_entity_graph,true,1,1,1,1,1,single_article,這一期經論介紹，要向各位介紹的是一部唯識的根本論著《唯識三十論》。⟂S⟂此論雖然只有一百二十句的短文，但所含義理豐富，把人的心理變化過程用「八識」來說明，以精闢之喻來闡釋三界唯心、萬法唯識的道理。,https://books.masterhsingyun.org/ArticleDetail/artcle22745
